Start station,Start time,End station,End time
229,2018-05-01 06:03:13 +0200,262,2018-05-01 06:06:19 +0200
232,2018-05-01 06:03:23 +0200,419,2018-05-01 06:12:55 +0200
226,2018-05-01 06:03:26 +0200,342,2018-05-01 06:11:50 +0200
394,2018-05-01 06:09:02 +0200,402,2018-05-01 06:17:38 +0200
201,2018-05-01 06:10:52 +0200,201,2018-05-01 06:11:44 +0200
360,2018-05-01 06:14:10 +0200,215,2018-05-01 06:17:14 +0200
416,2018-05-01 06:14:33 +0200,299,2018-05-01 06:20:31 +0200
290,2018-05-01 06:14:58 +0200,195,2018-05-01 06:20:49 +0200
180,2018-05-01 06:17:12 +0200,251,2018-05-01 06:36:30 +0200
388,2018-05-01 06:19:06 +0200,189,2018-05-01 06:23:03 +0200
226,2018-05-01 06:19:13 +0200,211,2018-05-01 06:25:52 +0200
342,2018-05-01 06:19:55 +0200,300,2018-05-01 06:31:21 +0200
222,2018-05-01 06:20:49 +0200,211,2018-05-01 06:25:17 +0200
190,2018-05-01 06:20:55 +0200,199,2018-05-01 06:24:07 +0200
261,2018-05-01 06:25:42 +0200,173,2018-05-01 06:34:06 +0200
210,2018-05-01 06:29:41 +0200,179,2018-05-01 06:35:16 +0200
241,2018-05-01 06:30:51 +0200,205,2018-05-01 06:39:30 +0200
272,2018-05-01 06:32:02 +0200,279,2018-05-01 06:35:15 +0200
259,2018-05-01 06:33:01 +0200,221,2018-05-01 06:40:34 +0200
